;unit;sex;age;geo_niv_0;geo_niv_1;geo_niv_2;region;icd10_niv_0;icd10_nom_niv_0;icd10_niv_1;icd10_nom_niv_1;icd10_niv_2;icd10_nom_niv_2;icd10_niv_3;maladies;2015;2014;2013;2012;2011;2010;2009;2008;2007;2006;2005;2004;2003;2002;2001;2000;1999;1998;1997;1996;1995;1994
154;RT;F;TOTAL;FR;FR4;FR42;Alsace ;A-R_V-Y;Toutes causes de mortalite;A-R_V-Y;Toutes causes de mortalite;A-R_V-Y;Toutes causes de mortalite;A-R_V-Y;Toutes causes de mortalite;850.48;768.07;815.35;797.15;757.14;770.9;769.3;743;713.6;743.6;742.8;722.3;796.9;785.7;802.5;813.4;820.5;811.1;799.2;845.6;845.7;806.1
155;RT;F;TOTAL;FR;FR4;FR43;Franche-Comte ;A-R_V-Y;Toutes causes de mortalite;A-R_V-Y;Toutes causes de mortalite;A-R_V-Y;Toutes causes de mortalite;A-R_V-Y;Toutes causes de mortalite;898.19;849.11;862.99;862.28;829.7;810.8;825.9;807.4;803.4;810.9;826.8;774.3;855.5;841.6;820;842;862.7;839.1;830.4;860.6;838.2;798.1
156;RT;F;TOTAL;FR;FR5;FR51;Pays de la Loire ;A-R_V-Y;Toutes causes de mortalite;A-R_V-Y;Toutes causes de mortalite;A-R_V-Y;Toutes causes de mortalite;A-R_V-Y;Toutes causes de mortalite;872.59;798.05;821.87;826.08;783.6;795.7;786.7;792.3;769;769.6;786.3;767.9;877;821.2;811.6;826.9;837.1;813.9;835.7;834.1;845.4;796.1
157;RT;F;TOTAL;FR;FR5;FR52;Bretagne ;A-R_V-Y;Toutes causes de mortalite;A-R_V-Y;Toutes causes de mortalite;A-R_V-Y;Toutes causes de mortalite;A-R_V-Y;Toutes causes de mortalite;1008.08;945.58;967.37;980.36;924.66;935;925.9;915.1;916.7;904.6;917.2;901.6;964.5;952.3;942.8;957.6;986.4;947.8;976.5;975.7;963.2;925.7
158;RT;F;TOTAL;FR;FR5;FR53;Poitou-Charentes ;A-R_V-Y;Toutes causes de mortalite;A-R_V-Y;Toutes causes de mortalite;A-R_V-Y;Toutes causes de mortalite;A-R_V-Y;Toutes causes de mortalite;1042.55;967.19;1035.96;1009.68;949.49;956.7;958.2;945.3;901.9;914.4;938;924.9;1022.6;967.6;989.2;984.7;999.3;984.4;998;1004.9;956.3;934.6
159;RT;F;TOTAL;FR;FR6;FR61;Aquitaine ;A-R_V-Y;Toutes causes de mortalite;A-R_V-Y;Toutes causes de mortalite;A-R_V-Y;Toutes causes de mortalite;A-R_V-Y;Toutes causes de mortalite;975.37;936.03;939.59;955.07;883.47;916.9;911.8;905.8;891;877.9;928.1;899.8;975;969.8;969.8;971;996.3;998.3;990.8;986.8;997.3;981
160;RT;F;TOTAL;FR;FR6;FR62;Midi-Pyrenees ;A-R_V-Y;Toutes causes de mortalite;A-R_V-Y;Toutes causes de mortalite;A-R_V-Y;Toutes causes de mortalite;A-R_V-Y;Toutes causes de mortalite;942.69;889.8;905.85;925.87;877.44;893.1;884.8;890.7;859.2;861.1;908.1;875.4;966;946.8;936.9;969.1;984.6;1019.6;989.5;988;966.9;959.5
161;RT;F;TOTAL;FR;FR6;FR63;Limousin ;A-R_V-Y;Toutes causes de mortalite;A-R_V-Y;Toutes causes de mortalite;A-R_V-Y;Toutes causes de mortalite;A-R_V-Y;Toutes causes de mortalite;1258.3;1133.92;1181.74;1179.79;1152.66;1147.4;1177.3;1149.9;1104.5;1104.3;1136.7;1119.9;1215.4;1216.4;1190.2;1179.3;1243.4;1256.4;1243;1227.3;1209.3;1176.1
162;RT;F;TOTAL;FR;FR7;FR71;Rhone-Alpes ;A-R_V-Y;Toutes causes de mortalite;A-R_V-Y;Toutes causes de mortalite;A-R_V-Y;Toutes causes de mortalite;A-R_V-Y;Toutes causes de mortalite;780.7;729.95;743.08;754.47;712.47;726.3;737.4;726.2;696.3;699.6;734.7;698.3;788;772.8;761.5;769.9;785.5;787.8;771.3;787.8;780.8;773.8
163;RT;F;TOTAL;FR;FR7;FR72;Auvergne ;A-R_V-Y;Toutes causes de mortalite;A-R_V-Y;Toutes causes de mortalite;A-R_V-Y;Toutes causes de mortalite;A-R_V-Y;Toutes causes de mortalite;1126.78;1018.02;1039.85;1079.37;1016.73;1044.2;1030.7;1039.5;989;971.8;1026.3;978.6;1060.5;1035.9;1036.9;1046.5;1052.8;1086;1050.1;1074.7;1035.9;1040.5
164;RT;F;TOTAL;FR;FR8;FR81;Languedoc-Roussillon ;A-R_V-Y;Toutes causes de mortalite;A-R_V-Y;Toutes causes de mortalite;A-R_V-Y;Toutes causes de mortalite;A-R_V-Y;Toutes causes de mortalite;955.71;907.02;910.55;953.03;889.33;909.5;902;887.1;867.4;867.3;902;879.6;960.5;937.4;941.9;950;1013.8;988.8;955.5;974.4;951.6;964.3
165;RT;F;TOTAL;FR;FR8;FR82;Provence-Alpes-Cote d'Azur ;A-R_V-Y;Toutes causes de mortalite;A-R_V-Y;Toutes causes de mortalite;A-R_V-Y;Toutes causes de mortalite;A-R_V-Y;Toutes causes de mortalite;966.87;908.88;916.37;945.37;877.77;891.9;892.6;882.8;868.1;853.6;901.2;858.7;971.2;933.1;922.9;919.9;963.3;955.2;938.1;930.5;936.7;924.1
166;RT;F;TOTAL;FR;FR8;FR83;Corse ;A-R_V-Y;Toutes causes de mortalite;A-R_V-Y;Toutes causes de mortalite;A-R_V-Y;Toutes causes de mortalite;A-R_V-Y;Toutes causes de mortalite;889.36;901.11;895.97;888.14;928.24;960.5;868.8;887.3;867.5;885.7;895;890.1;927.4;929.1;948.6;961.1;967.2;971.7;949.4;958.5;994.2;994.3
167;RT;F;TOTAL;#N/A;#N/A;FR91;#N/A;A-R_V-Y;Toutes causes de mortalite;A-R_V-Y;Toutes causes de mortalite;A-R_V-Y;Toutes causes de mortalite;A-R_V-Y;Toutes causes de mortalite;: ;: ;: ;571.69;565.97;579;576.4;522.7;543.7;555;568.6;520.5;537.1;544.5;532.2;: ;: ;: ;: ;: ;: ;:
168;RT;F;TOTAL;#N/A;#N/A;FR92;#N/A;A-R_V-Y;Toutes causes de mortalite;A-R_V-Y;Toutes causes de mortalite;A-R_V-Y;Toutes causes de mortalite;A-R_V-Y;Toutes causes de mortalite;: ;: ;: ;645.03;635.87;636.9;608.7;636.6;654.9;577.6;599.2;574.8;621.8;587.3;644.3;: ;: ;: ;: ;: ;: ;:
169;RT;F;TOTAL;#N/A;#N/A;FR93;#N/A;A-R_V-Y;Toutes causes de mortalite;A-R_V-Y;Toutes causes de mortalite;A-R_V-Y;Toutes causes de mortalite;A-R_V-Y;Toutes causes de mortalite;: ;: ;: ;254.5;232.57;262.2;236.1;281.4;265;267.7;282.5;281.4;286.2;294.3;309.9;: ;: ;: ;: ;: ;: ;:
170;RT;F;TOTAL;#N/A;#N/A;FR94;#N/A;A-R_V-Y;Toutes causes de mortalite;A-R_V-Y;Toutes causes de mortalite;A-R_V-Y;Toutes causes de mortalite;A-R_V-Y;Toutes causes de mortalite;: ;: ;: ;438.63;424.77;444.3;415.2;425.1;427.6;463.3;470;437.1;445.1;442.6;421.3;: ;: ;: ;: ;: ;: ;:
455;RT;F;TOTAL;FR;FR;FR;France;A-R_V-Y;Toutes causes de mortalite;A_U;Causes interne de morbidite et mortalite ;A_B;Certaines maladies infectieuses et parasitaires ;A15-A19_B90;Tuberculose;0.63;0.64;0.76;0.8;0.86;0.9;0.9;0.9;1;1;1.3;1.3;1.4;1.5;1.6;: ;: ;: ;: ;: ;: ;:
456;RT;F;TOTAL;FR;FR1;FR10;ile de France;A-R_V-Y;Toutes causes de mortalite;A_U;Causes interne de morbidite et mortalite ;A_B;Certaines maladies infectieuses et parasitaires ;A15-A19_B90;Tuberculose;0.67;0.56;0.69;0.6;0.72;0.8;0.8;0.8;0.9;1.1;1.1;1.1;1.3;1.2;1.4;1.5;1.7;1.5;1.4;1.4;1.6;1.4
457;RT;F;TOTAL;FR;FR2;FR21;Champagne-Ardenne ;A-R_V-Y;Toutes causes de mortalite;A_U;Causes interne de morbidite et mortalite ;A_B;Certaines maladies infectieuses et parasitaires ;A15-A19_B90;Tuberculose;0.87;0.73;0.58;1.02;1.02;0.6;0.9;1.2;0.9;0.7;1.3;0.4;1.2;1.2;2;0.7;2.2;0.7;0.9;2.2;1.3;2.8
458;RT;F;TOTAL;FR;FR2;FR22;Picardie ;A-R_V-Y;Toutes causes de mortalite;A_U;Causes interne de morbidite et mortalite ;A_B;Certaines maladies infectieuses et parasitaires ;A15-A19_B90;Tuberculose;0.1;0.51;0.51;0.41;0.81;0.4;0.6;0.5;0.7;0.4;0.6;0.7;0.9;1.6;1.6;1.4;1.1;1.3;1.3;1.2;1;1.7
459;RT;F;TOTAL;FR;FR2;FR23;Haute-Normandie ;A-R_V-Y;Toutes causes de mortalite;A_U;Causes interne de morbidite et mortalite ;A_B;Certaines maladies infectieuses et parasitaires ;A15-A19_B90;Tuberculose;1.04;0.73;0.73;0.84;1.16;1.4;1.2;1.6;0.7;1.5;1.5;1.2;1.5;1.4;2.7;1.4;2.5;1.4;1.8;1.1;2.1;2.1
460;RT;F;TOTAL;FR;FR2;FR24;Centre  ;A-R_V-Y;Toutes causes de mortalite;A_U;Causes interne de morbidite et mortalite ;A_B;Certaines maladies infectieuses et parasitaires ;A15-A19_B90;Tuberculose;0.45;0.83;0.45;0.98;1.37;1.1;0.8;0.9;1.2;1.2;1.7;1.6;1.8;2.1;2;1.7;2.2;2.1;1.7;1.5;2.1;2.3
461;RT;F;TOTAL;FR;FR2;FR25;Basse-Normandie ;A-R_V-Y;Toutes causes de mortalite;A_U;Causes interne de morbidite et mortalite ;A_B;Certaines maladies infectieuses et parasitaires ;A15-A19_B90;Tuberculose;1.05;0.92;0.92;1.18;1.05;1.1;1.6;0.9;1.1;1.2;1.2;1.9;1.7;1.5;1.6;1.6;0.8;3;2.3;1.4;1;1.5
462;RT;F;TOTAL;FR;FR2;FR26;Bourgogne ;A-R_V-Y;Toutes causes de mortalite;A_U;Causes interne de morbidite et mortalite ;A_B;Certaines maladies infectieuses et parasitaires ;A15-A19_B90;Tuberculose;0.24;1.54;1.42;0.71;0.83;1.2;1.4;1.2;1.1;1.4;1.7;1.4;1.3;2.8;1.7;1.8;2.3;1.9;1.8;1.8;2.1;2.5
463;RT;F;TOTAL;FR;FR3;FR30;Nord - Pas-de-Calais ;A-R_V-Y;Toutes causes de mortalite;A_U;Causes interne de morbidite et mortalite ;A_B;Certaines maladies infectieuses et parasitaires ;A15-A19_B90;Tuberculose;0.52;0.48;0.57;0.95;0.86;0.6;0.8;0.9;0.8;1;1.1;1.1;1.1;1.3;1.3;1.2;1.5;1.4;1.5;1.5;1.4;1.4
464;RT;F;TOTAL;FR;FR4;FR41;Lorraine ;A-R_V-Y;Toutes causes de mortalite;A_U;Causes interne de morbidite et mortalite ;A_B;Certaines maladies infectieuses et parasitaires ;A15-A19_B90;Tuberculose;0.59;0.92;0.92;0.5;0.75;0.7;0.7;1.3;1.1;1;1.4;1.5;1.3;0.8;0.9;1.2;1.8;1.6;0.9;1.1;1.4;0.9
465;RT;F;TOTAL;FR;FR4;FR42;Alsace ;A-R_V-Y;Toutes causes de mortalite;A_U;Causes interne de morbidite et mortalite ;A_B;Certaines maladies infectieuses et parasitaires ;A15-A19_B90;Tuberculose;0.62;0.94;0.94;0.63;0.84;0.5;0.6;1.4;0.7;0.4;0.6;1;1.5;1.5;1.3;0.9;2;1.4;1.4;2.1;0.9;2
466;RT;F;TOTAL;FR;FR4;FR43;Franche-Comte ;A-R_V-Y;Toutes causes de mortalite;A_U;Causes interne de morbidite et mortalite ;A_B;Certaines maladies infectieuses et parasitaires ;A15-A19_B90;Tuberculose;0.5;1;1.17;0.84;0.67;1.7;1.7;1.4;1;1.4;1.5;1.5;1.6;1.6;1.6;0.9;1.9;1.4;1.6;1.8;1.1;1.4
467;RT;F;TOTAL;FR;FR5;FR51;Pays de la Loire ;A-R_V-Y;Toutes causes de mortalite;A_U;Causes interne de morbidite et mortalite ;A_B;Certaines maladies infectieuses et parasitaires ;A15-A19_B90;Tuberculose;0.73;0.21;0.58;0.86;0.86;1.3;1;0.9;0.8;1;1.1;1.6;1.4;1.5;2.1;1.9;2.2;1.9;2.2;1.6;2;1.9
468;RT;F;TOTAL;FR;FR5;FR52;Bretagne ;A-R_V-Y;Toutes causes de mortalite;A_U;Causes interne de morbidite et mortalite ;A_B;Certaines maladies infectieuses et parasitaires ;A15-A19_B90;Tuberculose;0.77;1.36;1.01;1.32;1.57;1.2;1.8;1.2;1.2;2;1.5;1.8;1.9;2.7;2.3;2.4;3.2;2.8;2.4;2.8;2.5;2.7
469;RT;F;TOTAL;FR;FR5;FR53;Poitou-Charentes ;A-R_V-Y;Toutes causes de mortalite;A_U;Causes interne de morbidite et mortalite ;A_B;Certaines maladies infectieuses et parasitaires ;A15-A19_B90;Tuberculose;0.54;0.65;1.41;0.65;0.87;0.5;0.4;1.1;1.3;0.6;1;1.1;0.8;1.3;1.6;1.6;1.2;2.5;2.3;2.3;2.2;1.4
470;RT;F;TOTAL;FR;FR6;FR61;Aquitaine ;A-R_V-Y;Toutes causes de mortalite;A_U;Causes interne de morbidite et mortalite ;A_B;Certaines maladies infectieuses et parasitaires ;A15-A19_B90;Tuberculose;0.74;0.52;0.58;0.76;0.94;0.6;0.3;0.5;0.5;0.6;1.6;0.8;1.3;1.5;1.4;1.3;1.4;1.9;1.7;2;1.1;1.8
471;RT;F;TOTAL;FR;FR6;FR62;Midi-Pyrenees ;A-R_V-Y;Toutes causes de mortalite;A_U;Causes interne de morbidite et mortalite ;A_B;Certaines maladies infectieuses et parasitaires ;A15-A19_B90;Tuberculose;0.78;0.13;0.86;1;0.74;0.7;0.5;1.4;1.2;1;1.3;1.1;1.2;1.2;1.5;1.1;2;2.3;1.5;1.3;1.4;1.7
472;RT;F;TOTAL;FR;FR6;FR63;Limousin ;A-R_V-Y;Toutes causes de mortalite;A_U;Causes interne de morbidite et mortalite ;A_B;Certaines maladies infectieuses et parasitaires ;A15-A19_B90;Tuberculose;0.52;0.52;0.52;0.78;0.26;0.5;0.5;1.3;2.1;2.6;1.6;2.1;2.7;1.3;2.4;1.4;1.1;1.1;0.8;1.9;2.2;1.6
473;RT;F;TOTAL;FR;FR7;FR71;Rhone-Alpes ;A-R_V-Y;Toutes causes de mortalite;A_U;Causes interne de morbidite et mortalite ;A_B;Certaines maladies infectieuses et parasitaires ;A15-A19_B90;Tuberculose;0.8;0.63;0.85;1.1;0.9;0.8;1.1;0.6;1;1.3;1.9;1.4;1.4;1.7;1.7;2;1.6;2;1.8;1.9;1.9;1.9
474;RT;F;TOTAL;FR;FR7;FR72;Auvergne ;A-R_V-Y;Toutes causes de mortalite;A_U;Causes interne de morbidite et mortalite ;A_B;Certaines maladies infectieuses et parasitaires ;A15-A19_B90;Tuberculose;0.28;0.28;1.86;0.86;0.86;1.3;0.4;1.2;0.7;0.7;1.3;1.2;1.5;1.2;1.6;1.9;2.4;2.1;1.6;1.3;1.5;0.6
475;RT;F;TOTAL;FR;FR8;FR81;Languedoc-Roussillon ;A-R_V-Y;Toutes causes de mortalite;A_U;Causes interne de morbidite et mortalite ;A_B;Certaines maladies infectieuses et parasitaires ;A15-A19_B90;Tuberculose;0.48;0.56;0.63;0.85;0.57;0.9;0.7;0.9;1;1.2;1.3;1.3;1.7;1.6;1.6;1.9;2.1;2;0.9;1.4;1.6;1.4
476;RT;F;TOTAL;FR;FR8;FR82;Provence-Alpes-Cote d'Azur ;A-R_V-Y;Toutes causes de mortalite;A_U;Causes interne de morbidite et mortalite ;A_B;Certaines maladies infectieuses et parasitaires ;A15-A19_B90;Tuberculose;0.61;0.58;0.7;0.7;0.82;0.9;1;0.7;1.2;0.8;1.1;1.3;1.7;1.2;1.7;2;1.7;1.7;1.5;1.4;1.4;1.3
477;RT;F;TOTAL;FR;FR8;FR83;Corse ;A-R_V-Y;Toutes causes de mortalite;A_U;Causes interne de morbidite et mortalite ;A_B;Certaines maladies infectieuses et parasitaires ;A15-A19_B90;Tuberculose;: ;0.6;0.61;0.62;0.62;: ;1.3;1.3;0.6;: ;2;: ;0.7;0.7;2.9;1.5;1.5;0.8;1.5;0.8;: ;0.8
478;RT;F;TOTAL;#N/A;#N/A;FR91;#N/A;A-R_V-Y;Toutes causes de mortalite;A_U;Causes interne de morbidite et mortalite ;A_B;Certaines maladies infectieuses et parasitaires ;A15-A19_B90;Tuberculose;: ;: ;: ;: ;0.42;0.8;0.4;: ;: ;0.4;: ;: ;: ;0.4;1.3;: ;: ;: ;: ;: ;: ;:
479;RT;F;TOTAL;#N/A;#N/A;FR92;#N/A;A-R_V-Y;Toutes causes de mortalite;A_U;Causes interne de morbidite et mortalite ;A_B;Certaines maladies infectieuses et parasitaires ;A15-A19_B90;Tuberculose;: ;: ;: ;0.48;:;0.5;0.5;0.5;: ;: ;: ;0.5;1;0.5;0.5;: ;: ;: ;: ;: ;: ;:
480;RT;F;TOTAL;#N/A;#N/A;FR93;#N/A;A-R_V-Y;Toutes causes de mortalite;A_U;Causes interne de morbidite et mortalite ;A_B;Certaines maladies infectieuses et parasitaires ;A15-A19_B90;Tuberculose;: ;: ;: ;0.82;:;0.9;: ;0.9;: ;0.9;1;2;1.1;: ;1.2;: ;: ;: ;: ;: ;: ;:
481;RT;F;TOTAL;#N/A;#N/A;FR94;#N/A;A-R_V-Y;Toutes causes de mortalite;A_U;Causes interne de morbidite et mortalite ;A_B;Certaines maladies infectieuses et parasitaires ;A15-A19_B90;Tuberculose;: ;: ;: ;0.23;0.7;0.5;0.2;0.7;1.5;0.7;0.3;1.3;0.8;0.8;0.5;: ;: ;: ;: ;: ;: ;:
766;RT;F;TOTAL;FR;FR;FR;France;A-R_V-Y;Toutes causes de mortalite;V_Y_OTH;Causes externes de morbidite et mortalite ;V_Y_OTH;Accidents ;ACC;Accidents ;38.06;33.95;34.17;34.9;34.36;35;34.7;33.5;33.4;33.4;35.1;34.5;42.7;40.1;42;: ;: ;: ;: ;: ;: ;:
767;RT;F;TOTAL;FR;FR1;FR10;ile de France;A-R_V-Y;Toutes causes de mortalite;V_Y_OTH;Causes externes de morbidite et mortalite ;V_Y_OTH;Accidents ;ACC;Accidents ;24.27;22;22.54;22.66;23.89;24;22.8;22.7;22.9;23.8;23.8;24.1;36.3;29.6;30.5;31;34.3;33.7;31.6;33.1;34.3;33.5
768;RT;F;TOTAL;FR;FR2;FR21;Champagne-Ardenne ;A-R_V-Y;Toutes causes de mortalite;V_Y_OTH;Causes externes de morbidite et mortalite ;V_Y_OTH;Accidents ;ACC;Accidents ;45.52;35.21;35.82;36.68;36.73;36.7;36.3;36;32.9;31.2;39.5;37.3;40.6;44.3;43;39.8;45.1;48.2;45.5;44.4;47.8;48.9
769;RT;F;TOTAL;FR;FR2;FR22;Picardie ;A-R_V-Y;Toutes causes de mortalite;V_Y_OTH;Causes externes de morbidite et mortalite ;V_Y_OTH;Accidents ;ACC;Accidents ;36.43;33.58;32.56;33.02;32.99;33.4;37.1;33.5;33.8;32.3;31.5;35.6;42.6;36;39.2;40.8;41.3;46.6;40.3;42.7;40.8;40.5
770;RT;F;TOTAL;FR;FR2;FR23;Haute-Normandie ;A-R_V-Y;Toutes causes de mortalite;V_Y_OTH;Causes externes de morbidite et mortalite ;V_Y_OTH;Accidents ;ACC;Accidents ;35.56;30.77;31.38;33.21;33.19;30.9;32.8;35.8;29.7;32.1;32.9;31.8;39;38;39.3;34.6;40.3;41.4;36.4;36.8;43.1;36
771;RT;F;TOTAL;FR;FR2;FR24;Centre  ;A-R_V-Y;Toutes causes de mortalite;V_Y_OTH;Causes externes de morbidite et mortalite ;V_Y_OTH;Accidents ;ACC;Accidents ;41.78;37.21;35.03;38.23;35.54;37.1;36.4;35.7;35.5;39.5;37.2;41.1;55;47.3;52.3;48.8;56.9;53.4;51;49.4;53.4;52.3
772;RT;F;TOTAL;FR;FR2;FR25;Basse-Normandie ;A-R_V-Y;Toutes causes de mortalite;V_Y_OTH;Causes externes de morbidite et mortalite ;V_Y_OTH;Accidents ;ACC;Accidents ;45.68;39.1;36.22;43.19;39.02;39.1;39.4;33.5;35.3;31.7;37.3;34.9;40.4;39.9;42.6;45.6;53.6;44.3;39.2;42.9;40.6;42.4
773;RT;F;TOTAL;FR;FR2;FR26;Bourgogne ;A-R_V-Y;Toutes causes de mortalite;V_Y_OTH;Causes externes de morbidite et mortalite ;V_Y_OTH;Accidents ;ACC;Accidents ;48.49;41.72;44.29;43.77;43.95;41.9;47.2;43.7;43.6;42.8;43.9;41.9;56.2;50.8;53.8;54.6;62;59.2;59.5;58.6;56.4;57
774;RT;F;TOTAL;FR;FR3;FR30;Nord - Pas-de-Calais ;A-R_V-Y;Toutes causes de mortalite;V_Y_OTH;Causes externes de morbidite et mortalite ;V_Y_OTH;Accidents ;ACC;Accidents ;37.59;37.53;37.46;38.24;36.27;35.2;34.1;34;32.7;32.5;35.2;35;37.7;37.6;39.7;41.4;42;39.8;36.7;37;37.2;38.4
775;RT;F;TOTAL;FR;FR4;FR41;Lorraine ;A-R_V-Y;Toutes causes de mortalite;V_Y_OTH;Causes externes de morbidite et mortalite ;V_Y_OTH;Accidents ;ACC;Accidents ;43.82;34.64;34.03;36;32.98;34.5;37.5;35.3;34.3;34.2;36.1;35.2;37.5;43.9;41;38.8;40.3;39.5;38.2;42.6;46.1;41.3
776;RT;F;TOTAL;FR;FR4;FR42;Alsace ;A-R_V-Y;Toutes causes de mortalite;V_Y_OTH;Causes externes de morbidite et mortalite ;V_Y_OTH;Accidents ;ACC;Accidents ;40.24;32.98;36.01;35.89;32.13;30.4;32.6;28;29.3;32.4;32.7;29.7;39.4;32.8;38.6;36.7;40.3;38.8;37.4;42.4;36.8;36.6
777;RT;F;TOTAL;FR;FR4;FR43;Franche-Comte ;A-R_V-Y;Toutes causes de mortalite;V_Y_OTH;Causes externes de morbidite et mortalite ;V_Y_OTH;Accidents ;ACC;Accidents ;48.17;42.04;38.54;40.27;37.68;43.2;40.7;38.6;39.5;37.7;36.3;37.2;46.8;46.3;49.5;52.5;55.1;52.9;44.5;51.6;48.9;45.7
778;RT;F;TOTAL;FR;FR5;FR51;Pays de la Loire ;A-R_V-Y;Toutes causes de mortalite;V_Y_OTH;Causes externes de morbidite et mortalite ;V_Y_OTH;Accidents ;ACC;Accidents ;35.85;31.76;34.17;33.63;32.19;36.3;33.6;33.6;33.9;33.8;36.1;34.4;46.5;39.7;43.9;43.2;44.1;41.7;43.3;42.3;45.5;44.5
779;RT;F;TOTAL;FR;FR5;FR52;Bretagne ;A-R_V-Y;Toutes causes de mortalite;V_Y_OTH;Causes externes de morbidite et mortalite ;V_Y_OTH;Accidents ;ACC;Accidents ;51.05;43.25;43.7;45.91;44.78;46.8;41.3;38.6;41.7;44.2;43.3;40.9;45.5;47.9;47.3;52.2;52.7;51.5;52.7;49.9;48.5;47.9
780;RT;F;TOTAL;FR;FR5;FR53;Poitou-Charentes ;A-R_V-Y;Toutes causes de mortalite;V_Y_OTH;Causes externes de morbidite et mortalite ;V_Y_OTH;Accidents ;ACC;Accidents ;46.68;43.32;47.23;39.58;39.41;40.3;41.3;39.8;42;38.4;39;40.5;49;45.8;47.8;49.5;53.5;57;45.7;48.8;48.7;52.2
